,n_trees,n_interval,min_length,max_length,interval_type,time,accuracy,f1,recall
0,100,3,0.05,0.05,percentage,1.1050224304199219,0.6129032258064516,0.6129032258064516,0.6129032258064516
1,100,3,0.05,0.1,percentage,1.1075425148010254,0.6774193548387096,0.6774193548387096,0.6774193548387096
2,100,3,0.05,0.25,percentage,1.2143330574035645,0.6129032258064516,0.6129032258064516,0.6129032258064516
3,100,3,0.05,0.5,percentage,1.242931604385376,0.6451612903225806,0.6451612903225806,0.6451612903225806
4,100,3,0.05,0.7,percentage,1.1035075187683105,0.6774193548387096,0.6774193548387096,0.6774193548387096
5,100,3,0.05,1.0,percentage,1.085627794265747,0.6774193548387096,0.6774193548387096,0.6774193548387096
6,100,3,0.1,0.1,percentage,1.0182719230651855,0.6451612903225806,0.6451612903225806,0.6451612903225806
7,100,3,0.1,0.25,percentage,1.0380465984344482,0.6451612903225806,0.6451612903225806,0.6451612903225806
8,100,3,0.1,0.5,percentage,1.0492680072784424,0.6451612903225806,0.6451612903225806,0.6451612903225806
9,100,3,0.1,0.7,percentage,1.0477089881896973,0.6774193548387096,0.6774193548387096,0.6774193548387096
10,100,3,0.1,1.0,percentage,1.0844674110412598,0.6774193548387096,0.6774193548387096,0.6774193548387096
11,100,3,0.25,0.25,percentage,1.0356531143188477,0.6451612903225806,0.6451612903225806,0.6451612903225806
12,100,3,0.25,0.5,percentage,1.051987648010254,0.7419354838709677,0.7419354838709677,0.7419354838709677
13,100,3,0.25,0.7,percentage,1.0450146198272705,0.7096774193548387,0.7096774193548389,0.7096774193548387
14,100,3,0.25,1.0,percentage,1.0441958904266357,0.6774193548387096,0.6774193548387096,0.6774193548387096
15,100,3,0.5,0.5,percentage,1.0296680927276611,0.6451612903225806,0.6451612903225806,0.6451612903225806
16,100,3,0.5,0.7,percentage,1.0430867671966553,0.7419354838709677,0.7419354838709677,0.7419354838709677
17,100,3,0.5,1.0,percentage,1.0564725399017334,0.7419354838709677,0.7419354838709677,0.7419354838709677
18,100,5,0.05,0.05,percentage,1.105229139328003,0.5483870967741935,0.5483870967741935,0.5483870967741935
19,100,5,0.05,0.1,percentage,1.0756721496582031,0.6451612903225806,0.6451612903225806,0.6451612903225806
20,100,5,0.05,0.25,percentage,1.0694341659545898,0.6774193548387096,0.6774193548387096,0.6774193548387096
21,100,5,0.05,0.5,percentage,1.057755470275879,0.5806451612903226,0.5806451612903226,0.5806451612903226
22,100,5,0.05,0.7,percentage,1.0631434917449951,0.5806451612903226,0.5806451612903226,0.5806451612903226
23,100,5,0.05,1.0,percentage,1.0645523071289062,0.6451612903225806,0.6451612903225806,0.6451612903225806
24,100,5,0.1,0.1,percentage,1.0682404041290283,0.6774193548387096,0.6774193548387096,0.6774193548387096
25,100,5,0.1,0.25,percentage,1.0561580657958984,0.6129032258064516,0.6129032258064516,0.6129032258064516
26,100,5,0.1,0.5,percentage,1.0753674507141113,0.6129032258064516,0.6129032258064516,0.6129032258064516
27,100,5,0.1,0.7,percentage,1.0643784999847412,0.5806451612903226,0.5806451612903226,0.5806451612903226
28,100,5,0.1,1.0,percentage,1.07232666015625,0.6129032258064516,0.6129032258064516,0.6129032258064516
29,100,5,0.25,0.25,percentage,1.0561258792877197,0.7096774193548387,0.7096774193548389,0.7096774193548387
30,100,5,0.25,0.5,percentage,1.068385124206543,0.6774193548387096,0.6774193548387096,0.6774193548387096
31,100,5,0.25,0.7,percentage,1.070389747619629,0.7096774193548387,0.7096774193548389,0.7096774193548387
32,100,5,0.25,1.0,percentage,1.056023120880127,0.7096774193548387,0.7096774193548389,0.7096774193548387
33,100,5,0.5,0.5,percentage,1.061152696609497,0.6129032258064516,0.6129032258064516,0.6129032258064516
34,100,5,0.5,0.7,percentage,1.0674827098846436,0.6774193548387096,0.6774193548387096,0.6774193548387096
35,100,5,0.5,1.0,percentage,1.0610218048095703,0.7096774193548387,0.7096774193548389,0.7096774193548387
36,100,10,0.05,0.05,percentage,1.1180126667022705,0.6129032258064516,0.6129032258064516,0.6129032258064516
37,100,10,0.05,0.1,percentage,1.1343071460723877,0.7096774193548387,0.7096774193548389,0.7096774193548387
38,100,10,0.05,0.25,percentage,1.1317667961120605,0.6451612903225806,0.6451612903225806,0.6451612903225806
39,100,10,0.05,0.5,percentage,1.153839349746704,0.6774193548387096,0.6774193548387096,0.6774193548387096
40,100,10,0.05,0.7,percentage,1.1154427528381348,0.7096774193548387,0.7096774193548389,0.7096774193548387
41,100,10,0.05,1.0,percentage,1.1493477821350098,0.7096774193548387,0.7096774193548389,0.7096774193548387
42,100,10,0.1,0.1,percentage,1.1271388530731201,0.7419354838709677,0.7419354838709677,0.7419354838709677
43,100,10,0.1,0.25,percentage,1.1159048080444336,0.6129032258064516,0.6129032258064516,0.6129032258064516
44,100,10,0.1,0.5,percentage,1.2033040523529053,0.6451612903225806,0.6451612903225806,0.6451612903225806
45,100,10,0.1,0.7,percentage,1.1561851501464844,0.6774193548387096,0.6774193548387096,0.6774193548387096
46,100,10,0.1,1.0,percentage,1.1474621295928955,0.6774193548387096,0.6774193548387096,0.6774193548387096
47,100,10,0.25,0.25,percentage,1.129167079925537,0.7096774193548387,0.7096774193548389,0.7096774193548387
48,100,10,0.25,0.5,percentage,1.156569480895996,0.6774193548387096,0.6774193548387096,0.6774193548387096
49,100,10,0.25,0.7,percentage,1.1302404403686523,0.6774193548387096,0.6774193548387096,0.6774193548387096
50,100,10,0.25,1.0,percentage,1.1639788150787354,0.6774193548387096,0.6774193548387096,0.6774193548387096
51,100,10,0.5,0.5,percentage,1.11519455909729,0.6774193548387096,0.6774193548387096,0.6774193548387096
52,100,10,0.5,0.7,percentage,1.1460251808166504,0.6774193548387096,0.6774193548387096,0.6774193548387096
53,100,10,0.5,1.0,percentage,1.1311900615692139,0.6774193548387096,0.6774193548387096,0.6774193548387096
54,100,20,0.05,0.05,percentage,1.247713327407837,0.6129032258064516,0.6129032258064516,0.6129032258064516
55,100,20,0.05,0.1,percentage,1.2638826370239258,0.6451612903225806,0.6451612903225806,0.6451612903225806
56,100,20,0.05,0.25,percentage,1.2738592624664307,0.6129032258064516,0.6129032258064516,0.6129032258064516
57,100,20,0.05,0.5,percentage,1.316795825958252,0.6451612903225806,0.6451612903225806,0.6451612903225806
58,100,20,0.05,0.7,percentage,1.276965618133545,0.6774193548387096,0.6774193548387096,0.6774193548387096
59,100,20,0.05,1.0,percentage,1.278656244277954,0.7419354838709677,0.7419354838709677,0.7419354838709677
60,100,20,0.1,0.1,percentage,1.266134262084961,0.6774193548387096,0.6774193548387096,0.6774193548387096
61,100,20,0.1,0.25,percentage,1.2722032070159912,0.7096774193548387,0.7096774193548389,0.7096774193548387
62,100,20,0.1,0.5,percentage,1.275693655014038,0.6774193548387096,0.6774193548387096,0.6774193548387096
63,100,20,0.1,0.7,percentage,1.2638285160064697,0.7096774193548387,0.7096774193548389,0.7096774193548387
64,100,20,0.1,1.0,percentage,1.2893955707550049,0.7096774193548387,0.7096774193548389,0.7096774193548387
65,100,20,0.25,0.25,percentage,1.2728252410888672,0.6774193548387096,0.6774193548387096,0.6774193548387096
66,100,20,0.25,0.5,percentage,1.297365427017212,0.7419354838709677,0.7419354838709677,0.7419354838709677
67,100,20,0.25,0.7,percentage,1.2970914840698242,0.7741935483870968,0.7741935483870968,0.7741935483870968
68,100,20,0.25,1.0,percentage,1.289147138595581,0.7096774193548387,0.7096774193548389,0.7096774193548387
69,100,20,0.5,0.5,percentage,1.293609857559204,0.6774193548387096,0.6774193548387096,0.6774193548387096
70,100,20,0.5,0.7,percentage,1.2877583503723145,0.7096774193548387,0.7096774193548389,0.7096774193548387
71,100,20,0.5,1.0,percentage,1.297738790512085,0.7741935483870968,0.7741935483870968,0.7741935483870968
72,100,50,0.05,0.05,percentage,1.8607451915740967,0.6129032258064516,0.6129032258064516,0.6129032258064516
73,100,50,0.05,0.1,percentage,1.7155487537384033,0.6451612903225806,0.6451612903225806,0.6451612903225806
74,100,50,0.05,0.25,percentage,1.752004861831665,0.6774193548387096,0.6774193548387096,0.6774193548387096
75,100,50,0.05,0.5,percentage,1.7001845836639404,0.7419354838709677,0.7419354838709677,0.7419354838709677
76,100,50,0.05,0.7,percentage,1.699800968170166,0.6774193548387096,0.6774193548387096,0.6774193548387096
77,100,50,0.05,1.0,percentage,1.7272603511810303,0.6774193548387096,0.6774193548387096,0.6774193548387096
78,100,50,0.1,0.1,percentage,1.7482962608337402,0.6451612903225806,0.6451612903225806,0.6451612903225806
79,100,50,0.1,0.25,percentage,1.716521978378296,0.6129032258064516,0.6129032258064516,0.6129032258064516
80,100,50,0.1,0.5,percentage,1.7593519687652588,0.6774193548387096,0.6774193548387096,0.6774193548387096
81,100,50,0.1,0.7,percentage,1.7256982326507568,0.6774193548387096,0.6774193548387096,0.6774193548387096
82,100,50,0.1,1.0,percentage,1.713864803314209,0.7419354838709677,0.7419354838709677,0.7419354838709677
83,100,50,0.25,0.25,percentage,1.7271833419799805,0.7096774193548387,0.7096774193548389,0.7096774193548387
84,100,50,0.25,0.5,percentage,1.7562403678894043,0.6451612903225806,0.6451612903225806,0.6451612903225806
85,100,50,0.25,0.7,percentage,1.7848477363586426,0.6774193548387096,0.6774193548387096,0.6774193548387096
86,100,50,0.25,1.0,percentage,1.7029404640197754,0.7096774193548387,0.7096774193548389,0.7096774193548387
87,100,50,0.5,0.5,percentage,1.7959797382354736,0.7096774193548387,0.7096774193548389,0.7096774193548387
88,100,50,0.5,0.7,percentage,1.7595298290252686,0.6774193548387096,0.6774193548387096,0.6774193548387096
89,100,50,0.5,1.0,percentage,1.746093988418579,0.7096774193548387,0.7096774193548389,0.7096774193548387
90,100,100,0.05,0.05,percentage,2.386167526245117,0.6451612903225806,0.6451612903225806,0.6451612903225806
91,100,100,0.05,0.1,percentage,2.4102907180786133,0.6451612903225806,0.6451612903225806,0.6451612903225806
92,100,100,0.05,0.25,percentage,2.4255177974700928,0.6774193548387096,0.6774193548387096,0.6774193548387096
93,100,100,0.05,0.5,percentage,2.4762911796569824,0.7096774193548387,0.7096774193548389,0.7096774193548387
94,100,100,0.05,0.7,percentage,2.401211738586426,0.7419354838709677,0.7419354838709677,0.7419354838709677
95,100,100,0.05,1.0,percentage,2.392753839492798,0.7419354838709677,0.7419354838709677,0.7419354838709677
96,100,100,0.1,0.1,percentage,2.5985422134399414,0.6774193548387096,0.6774193548387096,0.6774193548387096
97,100,100,0.1,0.25,percentage,2.392144203186035,0.7096774193548387,0.7096774193548389,0.7096774193548387
98,100,100,0.1,0.5,percentage,2.41420578956604,0.7096774193548387,0.7096774193548389,0.7096774193548387
99,100,100,0.1,0.7,percentage,2.5650105476379395,0.7741935483870968,0.7741935483870968,0.7741935483870968
100,100,100,0.1,1.0,percentage,2.4125468730926514,0.7741935483870968,0.7741935483870968,0.7741935483870968
101,100,100,0.25,0.25,percentage,2.409198522567749,0.6129032258064516,0.6129032258064516,0.6129032258064516
102,100,100,0.25,0.5,percentage,2.5360443592071533,0.7096774193548387,0.7096774193548389,0.7096774193548387
103,100,100,0.25,0.7,percentage,2.474492073059082,0.7419354838709677,0.7419354838709677,0.7419354838709677
104,100,100,0.25,1.0,percentage,2.4532687664031982,0.7419354838709677,0.7419354838709677,0.7419354838709677
105,100,100,0.5,0.5,percentage,2.4889447689056396,0.6774193548387096,0.6774193548387096,0.6774193548387096
106,100,100,0.5,0.7,percentage,2.4948062896728516,0.7096774193548387,0.7096774193548389,0.7096774193548387
107,100,100,0.5,1.0,percentage,2.4703471660614014,0.7419354838709677,0.7419354838709677,0.7419354838709677
108,500,3,0.05,0.05,percentage,1.9775662422180176,0.5806451612903226,0.5806451612903226,0.5806451612903226
109,500,3,0.05,0.1,percentage,1.8753142356872559,0.6774193548387096,0.6774193548387096,0.6774193548387096
110,500,3,0.05,0.25,percentage,1.8597955703735352,0.6129032258064516,0.6129032258064516,0.6129032258064516
111,500,3,0.05,0.5,percentage,1.8568789958953857,0.6451612903225806,0.6451612903225806,0.6451612903225806
112,500,3,0.05,0.7,percentage,1.858842134475708,0.6774193548387096,0.6774193548387096,0.6774193548387096
113,500,3,0.05,1.0,percentage,1.882307529449463,0.6774193548387096,0.6774193548387096,0.6774193548387096
114,500,3,0.1,0.1,percentage,1.8600022792816162,0.7096774193548387,0.7096774193548389,0.7096774193548387
115,500,3,0.1,0.25,percentage,1.8489253520965576,0.6129032258064516,0.6129032258064516,0.6129032258064516
116,500,3,0.1,0.5,percentage,1.858065128326416,0.6451612903225806,0.6451612903225806,0.6451612903225806
117,500,3,0.1,0.7,percentage,1.8432610034942627,0.7096774193548387,0.7096774193548389,0.7096774193548387
118,500,3,0.1,1.0,percentage,1.8474256992340088,0.6774193548387096,0.6774193548387096,0.6774193548387096
119,500,3,0.25,0.25,percentage,1.8468871116638184,0.6451612903225806,0.6451612903225806,0.6451612903225806
120,500,3,0.25,0.5,percentage,1.8543245792388916,0.7419354838709677,0.7419354838709677,0.7419354838709677
121,500,3,0.25,0.7,percentage,1.857349157333374,0.7419354838709677,0.7419354838709677,0.7419354838709677
122,500,3,0.25,1.0,percentage,1.870495080947876,0.6774193548387096,0.6774193548387096,0.6774193548387096
123,500,3,0.5,0.5,percentage,1.8527300357818604,0.6451612903225806,0.6451612903225806,0.6451612903225806
124,500,3,0.5,0.7,percentage,1.8449552059173584,0.7419354838709677,0.7419354838709677,0.7419354838709677
125,500,3,0.5,1.0,percentage,1.8468778133392334,0.7096774193548387,0.7096774193548389,0.7096774193548387
126,500,5,0.05,0.05,percentage,1.8849985599517822,0.5806451612903226,0.5806451612903226,0.5806451612903226
127,500,5,0.05,0.1,percentage,1.869166612625122,0.6451612903225806,0.6451612903225806,0.6451612903225806
128,500,5,0.05,0.25,percentage,1.8759653568267822,0.6451612903225806,0.6451612903225806,0.6451612903225806
129,500,5,0.05,0.5,percentage,1.857839822769165,0.5806451612903226,0.5806451612903226,0.5806451612903226
130,500,5,0.05,0.7,percentage,1.889707326889038,0.6129032258064516,0.6129032258064516,0.6129032258064516
131,500,5,0.05,1.0,percentage,1.8625414371490479,0.6129032258064516,0.6129032258064516,0.6129032258064516
132,500,5,0.1,0.1,percentage,1.867492914199829,0.6774193548387096,0.6774193548387096,0.6774193548387096
133,500,5,0.1,0.25,percentage,1.8875658512115479,0.6129032258064516,0.6129032258064516,0.6129032258064516
134,500,5,0.1,0.5,percentage,1.8847756385803223,0.6451612903225806,0.6451612903225806,0.6451612903225806
135,500,5,0.1,0.7,percentage,1.860846757888794,0.6129032258064516,0.6129032258064516,0.6129032258064516
136,500,5,0.1,1.0,percentage,1.8999905586242676,0.6129032258064516,0.6129032258064516,0.6129032258064516
137,500,5,0.25,0.25,percentage,1.8796000480651855,0.7096774193548387,0.7096774193548389,0.7096774193548387
