,n_trees,n_interval,min_length,max_length,interval_type,time,accuracy,f1,recall
0,100,3,5.0,5.0,,0.4998648166656494,0.7739130434782608,0.7739130434782608,0.7739130434782608
1,100,3,5.0,5.0,reverse_fill,0.5751969814300537,0.9043478260869565,0.9043478260869565,0.9043478260869565
2,100,3,5.0,10.0,,0.49983882904052734,0.7739130434782608,0.7739130434782608,0.7739130434782608
3,100,3,5.0,10.0,reverse_fill,0.5253422260284424,0.9043478260869565,0.9043478260869565,0.9043478260869565
4,100,3,5.0,20.0,,0.5035543441772461,0.7739130434782608,0.7739130434782608,0.7739130434782608
5,100,3,5.0,20.0,reverse_fill,0.5292561054229736,0.9043478260869565,0.9043478260869565,0.9043478260869565
6,100,3,5.0,50.0,,0.5237743854522705,0.7739130434782608,0.7739130434782608,0.7739130434782608
7,100,3,5.0,50.0,reverse_fill,0.5141024589538574,0.9043478260869565,0.9043478260869565,0.9043478260869565
8,100,3,5.0,100.0,,0.5002284049987793,0.7739130434782608,0.7739130434782608,0.7739130434782608
9,100,3,5.0,100.0,reverse_fill,0.525651216506958,0.9043478260869565,0.9043478260869565,0.9043478260869565
10,100,3,5.0,200.0,,0.4985189437866211,0.7739130434782608,0.7739130434782608,0.7739130434782608
11,100,3,5.0,200.0,reverse_fill,0.5324296951293945,0.9043478260869565,0.9043478260869565,0.9043478260869565
12,100,3,5.0,500.0,,0.5471704006195068,0.7739130434782608,0.7739130434782608,0.7739130434782608
13,100,3,5.0,500.0,reverse_fill,0.5216536521911621,0.9043478260869565,0.9043478260869565,0.9043478260869565
14,100,3,5.0,inf,,0.49935293197631836,0.7739130434782608,0.7739130434782608,0.7739130434782608
15,100,3,5.0,inf,reverse_fill,0.5250000953674316,0.9043478260869565,0.9043478260869565,0.9043478260869565
16,100,3,10.0,10.0,,0.4986381530761719,0.7739130434782608,0.7739130434782608,0.7739130434782608
17,100,3,10.0,10.0,reverse_fill,0.5232541561126709,0.9043478260869565,0.9043478260869565,0.9043478260869565
18,100,3,10.0,20.0,,0.5038373470306396,0.7739130434782608,0.7739130434782608,0.7739130434782608
19,100,3,10.0,20.0,reverse_fill,0.5367605686187744,0.9043478260869565,0.9043478260869565,0.9043478260869565
20,100,3,10.0,50.0,,0.5088481903076172,0.7739130434782608,0.7739130434782608,0.7739130434782608
21,100,3,10.0,50.0,reverse_fill,0.5399389266967773,0.9043478260869565,0.9043478260869565,0.9043478260869565
22,100,3,10.0,100.0,,0.4972727298736572,0.7739130434782608,0.7739130434782608,0.7739130434782608
23,100,3,10.0,100.0,reverse_fill,0.5278658866882324,0.9043478260869565,0.9043478260869565,0.9043478260869565
24,100,3,10.0,200.0,,0.5029702186584473,0.7739130434782608,0.7739130434782608,0.7739130434782608
25,100,3,10.0,200.0,reverse_fill,0.5827200412750244,0.9043478260869565,0.9043478260869565,0.9043478260869565
26,100,3,10.0,500.0,,0.5221080780029297,0.7739130434782608,0.7739130434782608,0.7739130434782608
27,100,3,10.0,500.0,reverse_fill,0.5303573608398438,0.9043478260869565,0.9043478260869565,0.9043478260869565
28,100,3,10.0,inf,,0.5056476593017578,0.7739130434782608,0.7739130434782608,0.7739130434782608
29,100,3,10.0,inf,reverse_fill,0.5361783504486084,0.9043478260869565,0.9043478260869565,0.9043478260869565
30,100,3,20.0,20.0,,0.4996662139892578,0.7652173913043478,0.7652173913043478,0.7652173913043478
31,100,3,20.0,20.0,reverse_fill,0.5232207775115967,0.9043478260869565,0.9043478260869565,0.9043478260869565
32,100,3,20.0,50.0,,0.509739875793457,0.7652173913043478,0.7652173913043478,0.7652173913043478
33,100,3,20.0,50.0,reverse_fill,0.5260794162750244,0.9043478260869565,0.9043478260869565,0.9043478260869565
34,100,3,20.0,100.0,,0.5042762756347656,0.7652173913043478,0.7652173913043478,0.7652173913043478
35,100,3,20.0,100.0,reverse_fill,0.5819885730743408,0.9043478260869565,0.9043478260869565,0.9043478260869565
36,100,3,20.0,200.0,,0.535658597946167,0.7652173913043478,0.7652173913043478,0.7652173913043478
37,100,3,20.0,200.0,reverse_fill,0.5266523361206055,0.9043478260869565,0.9043478260869565,0.9043478260869565
