,n_trees,n_interval,min_length,max_length,interval_type,time,accuracy,f1,recall
0,100,3,5.0,5.0,,0.5628230571746826,0.6129032258064516,0.6129032258064516,0.6129032258064516
1,100,3,5.0,5.0,reverse_fill,0.6134686470031738,0.45161290322580644,0.45161290322580644,0.45161290322580644
2,100,3,5.0,10.0,,0.5443034172058105,0.5806451612903226,0.5806451612903226,0.5806451612903226
3,100,3,5.0,10.0,reverse_fill,0.6289949417114258,0.5161290322580645,0.5161290322580645,0.5161290322580645
4,100,3,5.0,20.0,,0.5993764400482178,0.6774193548387096,0.6774193548387096,0.6774193548387096
5,100,3,5.0,20.0,reverse_fill,0.6190366744995117,0.7096774193548387,0.7096774193548389,0.7096774193548387
6,100,3,5.0,50.0,,0.5564582347869873,0.6774193548387096,0.6774193548387096,0.6774193548387096
7,100,3,5.0,50.0,reverse_fill,0.6466577053070068,0.7096774193548387,0.7096774193548389,0.7096774193548387
8,100,3,5.0,100.0,,0.5569136142730713,0.7419354838709677,0.7419354838709677,0.7419354838709677
9,100,3,5.0,100.0,reverse_fill,0.6100306510925293,0.7096774193548387,0.7096774193548389,0.7096774193548387
10,100,3,5.0,200.0,,0.569957971572876,0.5806451612903226,0.5806451612903226,0.5806451612903226
11,100,3,5.0,200.0,reverse_fill,0.6744046211242676,0.7741935483870968,0.7741935483870968,0.7741935483870968
12,100,3,5.0,500.0,,0.5673646926879883,0.6774193548387096,0.6774193548387096,0.6774193548387096
13,100,3,5.0,500.0,reverse_fill,0.6155619621276855,0.7419354838709677,0.7419354838709677,0.7419354838709677
14,100,3,5.0,700.0,,0.5915288925170898,0.7096774193548387,0.7096774193548389,0.7096774193548387
15,100,3,5.0,700.0,reverse_fill,0.6863017082214355,0.7419354838709677,0.7419354838709677,0.7419354838709677
16,100,3,5.0,inf,,0.5875144004821777,0.6451612903225806,0.6451612903225806,0.6451612903225806
17,100,3,5.0,inf,reverse_fill,0.6455903053283691,0.7096774193548387,0.7096774193548389,0.7096774193548387
18,100,3,10.0,10.0,,0.5829710960388184,0.6451612903225806,0.6451612903225806,0.6451612903225806
19,100,3,10.0,10.0,reverse_fill,0.6456108093261719,0.5806451612903226,0.5806451612903226,0.5806451612903226
20,100,3,10.0,20.0,,0.6335968971252441,0.6451612903225806,0.6451612903225806,0.6451612903225806
21,100,3,10.0,20.0,reverse_fill,0.6225390434265137,0.7419354838709677,0.7419354838709677,0.7419354838709677
22,100,3,10.0,50.0,,0.6465184688568115,0.7096774193548387,0.7096774193548389,0.7096774193548387
23,100,3,10.0,50.0,reverse_fill,0.6946065425872803,0.7741935483870968,0.7741935483870968,0.7741935483870968
24,100,3,10.0,100.0,,0.6029982566833496,0.6451612903225806,0.6451612903225806,0.6451612903225806
25,100,3,10.0,100.0,reverse_fill,0.6636261940002441,0.6129032258064516,0.6129032258064516,0.6129032258064516
26,100,3,10.0,200.0,,0.5974481105804443,0.6774193548387096,0.6774193548387096,0.6774193548387096
27,100,3,10.0,200.0,reverse_fill,0.6640629768371582,0.7741935483870968,0.7741935483870968,0.7741935483870968
28,100,3,10.0,500.0,,0.6101458072662354,0.7419354838709677,0.7419354838709677,0.7419354838709677
29,100,3,10.0,500.0,reverse_fill,0.6533381938934326,0.8064516129032258,0.8064516129032258,0.8064516129032258
30,100,3,10.0,700.0,,0.6033546924591064,0.7419354838709677,0.7419354838709677,0.7419354838709677
31,100,3,10.0,700.0,reverse_fill,0.6854286193847656,0.7741935483870968,0.7741935483870968,0.7741935483870968
32,100,3,10.0,inf,,0.5896589756011963,0.7419354838709677,0.7419354838709677,0.7419354838709677
33,100,3,10.0,inf,reverse_fill,0.7013533115386963,0.8387096774193549,0.8387096774193549,0.8387096774193549
34,100,3,20.0,20.0,,0.5288174152374268,0.7096774193548387,0.7096774193548389,0.7096774193548387
35,100,3,20.0,20.0,reverse_fill,0.676215410232544,0.7741935483870968,0.7741935483870968,0.7741935483870968
36,100,3,20.0,50.0,,0.7581725120544434,0.6774193548387096,0.6774193548387096,0.6774193548387096
37,100,3,20.0,50.0,reverse_fill,0.9287922382354736,0.7741935483870968,0.7741935483870968,0.7741935483870968
38,100,3,20.0,100.0,,0.902662992477417,0.7096774193548387,0.7096774193548389,0.7096774193548387
39,100,3,20.0,100.0,reverse_fill,0.9498372077941895,0.8387096774193549,0.8387096774193549,0.8387096774193549
40,100,3,20.0,200.0,,0.8867001533508301,0.7741935483870968,0.7741935483870968,0.7741935483870968
41,100,3,20.0,200.0,reverse_fill,1.0017011165618896,0.8064516129032258,0.8064516129032258,0.8064516129032258
42,100,3,20.0,500.0,,0.8837893009185791,0.7096774193548387,0.7096774193548389,0.7096774193548387
43,100,3,20.0,500.0,reverse_fill,0.9393405914306641,0.8064516129032258,0.8064516129032258,0.8064516129032258
44,100,3,20.0,700.0,,0.839165210723877,0.7741935483870968,0.7741935483870968,0.7741935483870968
45,100,3,20.0,700.0,reverse_fill,0.8686890602111816,0.8064516129032258,0.8064516129032258,0.8064516129032258
46,100,3,20.0,inf,,0.7689225673675537,0.7741935483870968,0.7741935483870968,0.7741935483870968
47,100,3,20.0,inf,reverse_fill,0.7579174041748047,0.8064516129032258,0.8064516129032258,0.8064516129032258
48,100,3,50.0,50.0,,0.578453540802002,0.6129032258064516,0.6129032258064516,0.6129032258064516
49,100,3,50.0,50.0,reverse_fill,0.6787562370300293,0.8387096774193549,0.8387096774193549,0.8387096774193549
50,100,3,50.0,100.0,,0.6577351093292236,0.6129032258064516,0.6129032258064516,0.6129032258064516
51,100,3,50.0,100.0,reverse_fill,0.7208173274993896,0.8387096774193549,0.8387096774193549,0.8387096774193549
52,100,3,50.0,200.0,,0.6446869373321533,0.6774193548387096,0.6774193548387096,0.6774193548387096
