,dataset_name,n_trees,n_interval,min_length,max_length,interval_type,time,accuracy,f1,recall
0,animals.zip,100,3,5.0,5.0,,0.1806960105895996,0.6451612903225806,0.6451612903225806,0.6451612903225806
1,animals.zip,100,3,5.0,5.0,reverse_fill,0.195084810256958,0.4838709677419355,0.4838709677419355,0.4838709677419355
2,animals.zip,100,3,5.0,10.0,,0.18332552909851074,0.6451612903225806,0.6451612903225806,0.6451612903225806
3,animals.zip,100,3,5.0,10.0,reverse_fill,0.19495725631713867,0.5483870967741935,0.5483870967741935,0.5483870967741935
4,animals.zip,100,3,5.0,20.0,,0.19359827041625977,0.6774193548387096,0.6774193548387096,0.6774193548387096
5,animals.zip,100,3,5.0,20.0,reverse_fill,0.18721699714660645,0.6774193548387096,0.6774193548387096,0.6774193548387096
6,animals.zip,100,3,5.0,50.0,,0.18734264373779297,0.6774193548387096,0.6774193548387096,0.6774193548387096
7,animals.zip,100,3,5.0,50.0,reverse_fill,0.2011728286743164,0.6451612903225806,0.6451612903225806,0.6451612903225806
8,animals.zip,100,3,5.0,100.0,,0.19070744514465332,0.7096774193548387,0.7096774193548389,0.7096774193548387
9,animals.zip,100,3,5.0,100.0,reverse_fill,0.19104504585266113,0.7419354838709677,0.7419354838709677,0.7419354838709677
10,animals.zip,100,3,5.0,200.0,,0.18711209297180176,0.5806451612903226,0.5806451612903226,0.5806451612903226
11,animals.zip,100,3,5.0,200.0,reverse_fill,0.19355201721191406,0.8387096774193549,0.8387096774193549,0.8387096774193549
12,animals.zip,100,3,5.0,500.0,,0.20965266227722168,0.6451612903225806,0.6451612903225806,0.6451612903225806
13,animals.zip,100,3,5.0,500.0,reverse_fill,0.19986414909362793,0.7741935483870968,0.7741935483870968,0.7741935483870968
14,animals.zip,100,3,5.0,700.0,,0.18689894676208496,0.6451612903225806,0.6451612903225806,0.6451612903225806
15,animals.zip,100,3,5.0,700.0,reverse_fill,0.18461155891418457,0.7741935483870968,0.7741935483870968,0.7741935483870968
16,animals.zip,100,3,5.0,inf,,0.18764138221740723,0.6451612903225806,0.6451612903225806,0.6451612903225806
17,animals.zip,100,3,5.0,inf,reverse_fill,0.18632745742797852,0.7741935483870968,0.7741935483870968,0.7741935483870968
18,animals.zip,100,3,10.0,10.0,,0.18128514289855957,0.6451612903225806,0.6451612903225806,0.6451612903225806
19,animals.zip,100,3,10.0,10.0,reverse_fill,0.1925947666168213,0.6451612903225806,0.6451612903225806,0.6451612903225806
20,animals.zip,100,3,10.0,20.0,,0.18401145935058594,0.6451612903225806,0.6451612903225806,0.6451612903225806
21,animals.zip,100,3,10.0,20.0,reverse_fill,0.19664645195007324,0.6774193548387096,0.6774193548387096,0.6774193548387096
22,animals.zip,100,3,10.0,50.0,,0.23783564567565918,0.7096774193548387,0.7096774193548389,0.7096774193548387
23,animals.zip,100,3,10.0,50.0,reverse_fill,0.19709014892578125,0.7741935483870968,0.7741935483870968,0.7741935483870968
24,animals.zip,100,3,10.0,100.0,,0.18231415748596191,0.6451612903225806,0.6451612903225806,0.6451612903225806
25,animals.zip,100,3,10.0,100.0,reverse_fill,0.1988065242767334,0.6774193548387096,0.6774193548387096,0.6774193548387096
26,animals.zip,100,3,10.0,200.0,,0.18892979621887207,0.6451612903225806,0.6451612903225806,0.6451612903225806
27,animals.zip,100,3,10.0,200.0,reverse_fill,0.19077444076538086,0.7419354838709677,0.7419354838709677,0.7419354838709677
28,animals.zip,100,3,10.0,500.0,,0.19096803665161133,0.7419354838709677,0.7419354838709677,0.7419354838709677
29,animals.zip,100,3,10.0,500.0,reverse_fill,0.20026874542236328,0.7741935483870968,0.7741935483870968,0.7741935483870968
30,animals.zip,100,3,10.0,700.0,,0.19992780685424805,0.7419354838709677,0.7419354838709677,0.7419354838709677
31,animals.zip,100,3,10.0,700.0,reverse_fill,0.1957719326019287,0.7741935483870968,0.7741935483870968,0.7741935483870968
32,animals.zip,100,3,10.0,inf,,0.19258809089660645,0.7419354838709677,0.7419354838709677,0.7419354838709677
33,animals.zip,100,3,10.0,inf,reverse_fill,0.19063258171081543,0.7741935483870968,0.7741935483870968,0.7741935483870968
34,animals.zip,100,3,20.0,20.0,,0.1821441650390625,0.6774193548387096,0.6774193548387096,0.6774193548387096
35,animals.zip,100,3,20.0,20.0,reverse_fill,0.19208908081054688,0.7419354838709677,0.7419354838709677,0.7419354838709677
36,animals.zip,100,3,20.0,50.0,,0.198150634765625,0.6774193548387096,0.6774193548387096,0.6774193548387096
37,animals.zip,100,3,20.0,50.0,reverse_fill,0.20381903648376465,0.8387096774193549,0.8387096774193549,0.8387096774193549
38,animals.zip,100,3,20.0,100.0,,0.199019193649292,0.6451612903225806,0.6451612903225806,0.6451612903225806
39,animals.zip,100,3,20.0,100.0,reverse_fill,0.19141697883605957,0.7741935483870968,0.7741935483870968,0.7741935483870968
40,animals.zip,100,3,20.0,200.0,,0.19688081741333008,0.7741935483870968,0.7741935483870968,0.7741935483870968
41,animals.zip,100,3,20.0,200.0,reverse_fill,0.1928882598876953,0.8064516129032258,0.8064516129032258,0.8064516129032258
42,animals.zip,100,3,20.0,500.0,,0.1965198516845703,0.7741935483870968,0.7741935483870968,0.7741935483870968
43,animals.zip,100,3,20.0,500.0,reverse_fill,0.20460939407348633,0.8064516129032258,0.8064516129032258,0.8064516129032258
44,animals.zip,100,3,20.0,700.0,,0.18764209747314453,0.7741935483870968,0.7741935483870968,0.7741935483870968
45,animals.zip,100,3,20.0,700.0,reverse_fill,0.18712496757507324,0.8064516129032258,0.8064516129032258,0.8064516129032258
46,animals.zip,100,3,20.0,inf,,0.18813681602478027,0.7741935483870968,0.7741935483870968,0.7741935483870968
47,animals.zip,100,3,20.0,inf,reverse_fill,0.1966230869293213,0.8064516129032258,0.8064516129032258,0.8064516129032258
48,animals.zip,100,3,50.0,50.0,,0.1862931251525879,0.6129032258064516,0.6129032258064516,0.6129032258064516
49,animals.zip,100,3,50.0,50.0,reverse_fill,0.19415903091430664,0.8387096774193549,0.8387096774193549,0.8387096774193549
50,animals.zip,100,3,50.0,100.0,,0.18890643119812012,0.5483870967741935,0.5483870967741935,0.5483870967741935
51,animals.zip,100,3,50.0,100.0,reverse_fill,0.1989305019378662,0.7741935483870968,0.7741935483870968,0.7741935483870968
52,animals.zip,100,3,50.0,200.0,,0.18715810775756836,0.6774193548387096,0.6774193548387096,0.6774193548387096
53,animals.zip,100,3,50.0,200.0,reverse_fill,0.1911182403564453,0.8709677419354839,0.8709677419354839,0.8709677419354839
54,animals.zip,100,3,50.0,500.0,,0.19588327407836914,0.6774193548387096,0.6774193548387096,0.6774193548387096
55,animals.zip,100,3,50.0,500.0,reverse_fill,0.19560003280639648,0.8709677419354839,0.8709677419354839,0.8709677419354839
56,animals.zip,100,3,50.0,700.0,,0.19115304946899414,0.6774193548387096,0.6774193548387096,0.6774193548387096
57,animals.zip,100,3,50.0,700.0,reverse_fill,0.20125699043273926,0.8709677419354839,0.8709677419354839,0.8709677419354839
58,animals.zip,100,3,50.0,inf,,0.18976807594299316,0.6774193548387096,0.6774193548387096,0.6774193548387096
59,animals.zip,100,3,50.0,inf,reverse_fill,0.18821310997009277,0.8709677419354839,0.8709677419354839,0.8709677419354839
60,animals.zip,100,3,100.0,100.0,,0.19171142578125,0.6129032258064516,0.6129032258064516,0.6129032258064516
61,animals.zip,100,3,100.0,100.0,reverse_fill,0.19208765029907227,0.8064516129032258,0.8064516129032258,0.8064516129032258
62,animals.zip,100,3,100.0,200.0,,0.18671965599060059,0.7419354838709677,0.7419354838709677,0.7419354838709677
63,animals.zip,100,3,100.0,200.0,reverse_fill,0.19598627090454102,0.7741935483870968,0.7741935483870968,0.7741935483870968
64,animals.zip,100,3,100.0,500.0,,0.20474600791931152,0.7419354838709677,0.7419354838709677,0.7419354838709677
65,animals.zip,100,3,100.0,500.0,reverse_fill,0.20187878608703613,0.7741935483870968,0.7741935483870968,0.7741935483870968
66,animals.zip,100,3,100.0,700.0,,0.19145941734313965,0.7419354838709677,0.7419354838709677,0.7419354838709677
67,animals.zip,100,3,100.0,700.0,reverse_fill,0.19536209106445312,0.7741935483870968,0.7741935483870968,0.7741935483870968
68,animals.zip,100,3,100.0,inf,,0.1937117576599121,0.7419354838709677,0.7419354838709677,0.7419354838709677
69,animals.zip,100,3,100.0,inf,reverse_fill,0.19902396202087402,0.7741935483870968,0.7741935483870968,0.7741935483870968
70,animals.zip,100,3,200.0,200.0,,0.18788909912109375,0.8064516129032258,0.8064516129032258,0.8064516129032258
71,animals.zip,100,3,200.0,200.0,reverse_fill,0.19904160499572754,0.8709677419354839,0.8709677419354839,0.8709677419354839
72,animals.zip,100,3,200.0,500.0,,0.1957390308380127,0.8064516129032258,0.8064516129032258,0.8064516129032258
73,animals.zip,100,3,200.0,500.0,reverse_fill,0.1938316822052002,0.8387096774193549,0.8387096774193549,0.8387096774193549
74,animals.zip,100,3,200.0,700.0,,0.1939404010772705,0.8064516129032258,0.8064516129032258,0.8064516129032258
75,animals.zip,100,3,200.0,700.0,reverse_fill,0.20407700538635254,0.8387096774193549,0.8387096774193549,0.8387096774193549
76,animals.zip,100,3,200.0,inf,,0.1925795078277588,0.8064516129032258,0.8064516129032258,0.8064516129032258
77,animals.zip,100,3,200.0,inf,reverse_fill,0.2207469940185547,0.8387096774193549,0.8387096774193549,0.8387096774193549
78,animals.zip,100,5,5.0,5.0,,0.2065877914428711,0.5806451612903226,0.5806451612903226,0.5806451612903226
79,animals.zip,100,5,5.0,5.0,reverse_fill,0.22020244598388672,0.4838709677419355,0.4838709677419355,0.4838709677419355
80,animals.zip,100,5,5.0,10.0,,0.20736002922058105,0.7096774193548387,0.7096774193548389,0.7096774193548387
81,animals.zip,100,5,5.0,10.0,reverse_fill,0.22888875007629395,0.6129032258064516,0.6129032258064516,0.6129032258064516
82,animals.zip,100,5,5.0,20.0,,0.21094346046447754,0.7419354838709677,0.7419354838709677,0.7419354838709677
83,animals.zip,100,5,5.0,20.0,reverse_fill,0.22421026229858398,0.45161290322580644,0.45161290322580644,0.45161290322580644
84,animals.zip,100,5,5.0,50.0,,0.20525288581848145,0.7741935483870968,0.7741935483870968,0.7741935483870968
85,animals.zip,100,5,5.0,50.0,reverse_fill,0.23379206657409668,0.6451612903225806,0.6451612903225806,0.6451612903225806
86,animals.zip,100,5,5.0,100.0,,0.24533987045288086,0.7741935483870968,0.7741935483870968,0.7741935483870968
87,animals.zip,100,5,5.0,100.0,reverse_fill,0.22498345375061035,0.8387096774193549,0.8387096774193549,0.8387096774193549
