,dataset_name,n_trees,n_interval,min_length,max_length,interval_type,time,accuracy,f1,recall
0,vehicles.zip,100,3,5.0,5.0,,0.3424973487854004,0.7478260869565218,0.7478260869565218,0.7478260869565218
1,vehicles.zip,100,3,5.0,5.0,reverse_fill,0.36041951179504395,0.7130434782608696,0.7130434782608696,0.7130434782608696
2,vehicles.zip,100,3,5.0,10.0,,0.39936375617980957,0.7565217391304347,0.7565217391304349,0.7565217391304347
3,vehicles.zip,100,3,5.0,10.0,reverse_fill,0.3643457889556885,0.7130434782608696,0.7130434782608696,0.7130434782608696
4,vehicles.zip,100,3,5.0,20.0,,0.3672776222229004,0.7565217391304347,0.7565217391304349,0.7565217391304347
5,vehicles.zip,100,3,5.0,20.0,reverse_fill,0.3766968250274658,0.7130434782608696,0.7130434782608696,0.7130434782608696
6,vehicles.zip,100,3,5.0,50.0,,0.3252100944519043,0.7391304347826086,0.7391304347826085,0.7391304347826086
7,vehicles.zip,100,3,5.0,50.0,reverse_fill,0.3675870895385742,0.7478260869565218,0.7478260869565218,0.7478260869565218
8,vehicles.zip,100,3,5.0,100.0,,0.3316831588745117,0.7565217391304347,0.7565217391304349,0.7565217391304347
9,vehicles.zip,100,3,5.0,100.0,reverse_fill,0.3612980842590332,0.7478260869565218,0.7478260869565218,0.7478260869565218
10,vehicles.zip,100,3,5.0,200.0,,0.3467373847961426,0.808695652173913,0.808695652173913,0.808695652173913
11,vehicles.zip,100,3,5.0,200.0,reverse_fill,0.3620264530181885,0.782608695652174,0.782608695652174,0.782608695652174
12,vehicles.zip,100,3,5.0,500.0,,0.35083699226379395,0.8,0.8000000000000002,0.8
13,vehicles.zip,100,3,5.0,500.0,reverse_fill,0.3637864589691162,0.782608695652174,0.782608695652174,0.782608695652174
14,vehicles.zip,100,3,5.0,700.0,,0.35169100761413574,0.7913043478260869,0.791304347826087,0.7913043478260869
15,vehicles.zip,100,3,5.0,700.0,reverse_fill,0.37148141860961914,0.782608695652174,0.782608695652174,0.782608695652174
16,vehicles.zip,100,3,5.0,inf,,0.36342597007751465,0.8,0.8000000000000002,0.8
17,vehicles.zip,100,3,5.0,inf,reverse_fill,0.3817558288574219,0.8,0.8000000000000002,0.8
18,vehicles.zip,100,3,10.0,10.0,,0.4213218688964844,0.7391304347826086,0.7391304347826085,0.7391304347826086
19,vehicles.zip,100,3,10.0,10.0,reverse_fill,0.38109540939331055,0.7130434782608696,0.7130434782608696,0.7130434782608696
20,vehicles.zip,100,3,10.0,20.0,,0.3513190746307373,0.7304347826086957,0.7304347826086957,0.7304347826086957
21,vehicles.zip,100,3,10.0,20.0,reverse_fill,0.40298032760620117,0.7130434782608696,0.7130434782608696,0.7130434782608696
22,vehicles.zip,100,3,10.0,50.0,,0.3692283630371094,0.7391304347826086,0.7391304347826085,0.7391304347826086
23,vehicles.zip,100,3,10.0,50.0,reverse_fill,0.3829920291900635,0.7217391304347827,0.7217391304347827,0.7217391304347827
24,vehicles.zip,100,3,10.0,100.0,,0.35701775550842285,0.7913043478260869,0.791304347826087,0.7913043478260869
25,vehicles.zip,100,3,10.0,100.0,reverse_fill,0.3941187858581543,0.7739130434782608,0.7739130434782608,0.7739130434782608
26,vehicles.zip,100,3,10.0,200.0,,0.39400649070739746,0.8,0.8000000000000002,0.8
27,vehicles.zip,100,3,10.0,200.0,reverse_fill,0.3823063373565674,0.8,0.8000000000000002,0.8
28,vehicles.zip,100,3,10.0,500.0,,0.36131906509399414,0.8173913043478261,0.817391304347826,0.8173913043478261
29,vehicles.zip,100,3,10.0,500.0,reverse_fill,0.39567089080810547,0.7913043478260869,0.791304347826087,0.7913043478260869
30,vehicles.zip,100,3,10.0,700.0,,0.37311458587646484,0.808695652173913,0.808695652173913,0.808695652173913
31,vehicles.zip,100,3,10.0,700.0,reverse_fill,0.43700742721557617,0.782608695652174,0.782608695652174,0.782608695652174
32,vehicles.zip,100,3,10.0,inf,,0.3905014991760254,0.808695652173913,0.808695652173913,0.808695652173913
33,vehicles.zip,100,3,10.0,inf,reverse_fill,0.4467480182647705,0.8173913043478261,0.817391304347826,0.8173913043478261
34,vehicles.zip,100,3,20.0,20.0,,0.4232053756713867,0.7304347826086957,0.7304347826086957,0.7304347826086957
35,vehicles.zip,100,3,20.0,20.0,reverse_fill,0.396744966506958,0.7304347826086957,0.7304347826086957,0.7304347826086957
36,vehicles.zip,100,3,20.0,50.0,,0.40708422660827637,0.7652173913043478,0.7652173913043478,0.7652173913043478
37,vehicles.zip,100,3,20.0,50.0,reverse_fill,0.41414427757263184,0.7652173913043478,0.7652173913043478,0.7652173913043478
38,vehicles.zip,100,3,20.0,100.0,,0.3786048889160156,0.808695652173913,0.808695652173913,0.808695652173913
39,vehicles.zip,100,3,20.0,100.0,reverse_fill,0.38957858085632324,0.782608695652174,0.782608695652174,0.782608695652174
40,vehicles.zip,100,3,20.0,200.0,,0.3856937885284424,0.808695652173913,0.808695652173913,0.808695652173913
41,vehicles.zip,100,3,20.0,200.0,reverse_fill,0.42189693450927734,0.7913043478260869,0.791304347826087,0.7913043478260869
42,vehicles.zip,100,3,20.0,500.0,,0.3643317222595215,0.808695652173913,0.808695652173913,0.808695652173913
43,vehicles.zip,100,3,20.0,500.0,reverse_fill,0.4123680591583252,0.8,0.8000000000000002,0.8
44,vehicles.zip,100,3,20.0,700.0,,0.3913445472717285,0.808695652173913,0.808695652173913,0.808695652173913
45,vehicles.zip,100,3,20.0,700.0,reverse_fill,0.43097829818725586,0.808695652173913,0.808695652173913,0.808695652173913
46,vehicles.zip,100,3,20.0,inf,,0.375164270401001,0.8,0.8000000000000002,0.8
47,vehicles.zip,100,3,20.0,inf,reverse_fill,0.3922910690307617,0.8434782608695652,0.8434782608695653,0.8434782608695652
48,vehicles.zip,100,3,50.0,50.0,,0.34358668327331543,0.808695652173913,0.808695652173913,0.808695652173913
49,vehicles.zip,100,3,50.0,50.0,reverse_fill,0.39397311210632324,0.7913043478260869,0.791304347826087,0.7913043478260869
50,vehicles.zip,100,3,50.0,100.0,,0.3582932949066162,0.8260869565217391,0.8260869565217391,0.8260869565217391
51,vehicles.zip,100,3,50.0,100.0,reverse_fill,0.3910517692565918,0.782608695652174,0.782608695652174,0.782608695652174
52,vehicles.zip,100,3,50.0,200.0,,0.35707664489746094,0.808695652173913,0.808695652173913,0.808695652173913
53,vehicles.zip,100,3,50.0,200.0,reverse_fill,0.40860867500305176,0.7913043478260869,0.791304347826087,0.7913043478260869
54,vehicles.zip,100,3,50.0,500.0,,0.3714165687561035,0.8,0.8000000000000002,0.8
55,vehicles.zip,100,3,50.0,500.0,reverse_fill,0.41840577125549316,0.808695652173913,0.808695652173913,0.808695652173913
56,vehicles.zip,100,3,50.0,700.0,,0.3866889476776123,0.808695652173913,0.808695652173913,0.808695652173913
57,vehicles.zip,100,3,50.0,700.0,reverse_fill,0.426114559173584,0.8173913043478261,0.817391304347826,0.8173913043478261
58,vehicles.zip,100,3,50.0,inf,,0.3674311637878418,0.808695652173913,0.808695652173913,0.808695652173913
59,vehicles.zip,100,3,50.0,inf,reverse_fill,0.38617467880249023,0.8173913043478261,0.817391304347826,0.8173913043478261
60,vehicles.zip,100,3,100.0,100.0,,0.34781742095947266,0.8173913043478261,0.817391304347826,0.8173913043478261
61,vehicles.zip,100,3,100.0,100.0,reverse_fill,0.38871312141418457,0.782608695652174,0.782608695652174,0.782608695652174
62,vehicles.zip,100,3,100.0,200.0,,0.34603452682495117,0.782608695652174,0.782608695652174,0.782608695652174
63,vehicles.zip,100,3,100.0,200.0,reverse_fill,0.40238475799560547,0.8,0.8000000000000002,0.8
64,vehicles.zip,100,3,100.0,500.0,,0.3562307357788086,0.7913043478260869,0.791304347826087,0.7913043478260869
65,vehicles.zip,100,3,100.0,500.0,reverse_fill,0.3955509662628174,0.8695652173913043,0.8695652173913043,0.8695652173913043
66,vehicles.zip,100,3,100.0,700.0,,0.3769047260284424,0.8173913043478261,0.817391304347826,0.8173913043478261
67,vehicles.zip,100,3,100.0,700.0,reverse_fill,0.42871904373168945,0.808695652173913,0.808695652173913,0.808695652173913
68,vehicles.zip,100,3,100.0,inf,,0.4349992275238037,0.8173913043478261,0.817391304347826,0.8173913043478261
69,vehicles.zip,100,3,100.0,inf,reverse_fill,0.40590763092041016,0.808695652173913,0.808695652173913,0.808695652173913
70,vehicles.zip,100,3,200.0,200.0,,0.363039493560791,0.8,0.8000000000000002,0.8
71,vehicles.zip,100,3,200.0,200.0,reverse_fill,0.4015941619873047,0.8434782608695652,0.8434782608695653,0.8434782608695652
72,vehicles.zip,100,3,200.0,500.0,,0.3772439956665039,0.8173913043478261,0.817391304347826,0.8173913043478261
73,vehicles.zip,100,3,200.0,500.0,reverse_fill,0.4295058250427246,0.8347826086956521,0.8347826086956521,0.8347826086956521
74,vehicles.zip,100,3,200.0,700.0,,0.38580870628356934,0.8173913043478261,0.817391304347826,0.8173913043478261
75,vehicles.zip,100,3,200.0,700.0,reverse_fill,0.4389927387237549,0.8347826086956521,0.8347826086956521,0.8347826086956521
76,vehicles.zip,100,3,200.0,inf,,0.4006681442260742,0.8,0.8000000000000002,0.8
77,vehicles.zip,100,3,200.0,inf,reverse_fill,0.42957353591918945,0.8434782608695652,0.8434782608695653,0.8434782608695652
78,vehicles.zip,100,3,500.0,500.0,,0.3721916675567627,0.808695652173913,0.808695652173913,0.808695652173913
79,vehicles.zip,100,3,500.0,500.0,reverse_fill,0.40749502182006836,0.8695652173913043,0.8695652173913043,0.8695652173913043
80,vehicles.zip,100,3,500.0,700.0,,0.3879702091217041,0.8173913043478261,0.817391304347826,0.8173913043478261
81,vehicles.zip,100,3,500.0,700.0,reverse_fill,0.40683794021606445,0.8695652173913043,0.8695652173913043,0.8695652173913043
82,vehicles.zip,100,3,500.0,inf,,0.38425731658935547,0.8260869565217391,0.8260869565217391,0.8260869565217391
83,vehicles.zip,100,3,500.0,inf,reverse_fill,0.446244478225708,0.8608695652173913,0.8608695652173913,0.8608695652173913
84,vehicles.zip,100,5,5.0,5.0,,0.4289515018463135,0.7652173913043478,0.7652173913043478,0.7652173913043478
85,vehicles.zip,100,5,5.0,5.0,reverse_fill,0.48056602478027344,0.7130434782608696,0.7130434782608696,0.7130434782608696
86,vehicles.zip,100,5,5.0,10.0,,0.4827258586883545,0.7565217391304347,0.7565217391304349,0.7565217391304347
87,vehicles.zip,100,5,5.0,10.0,reverse_fill,0.48186445236206055,0.7130434782608696,0.7130434782608696,0.7130434782608696
88,vehicles.zip,100,5,5.0,20.0,,0.4222407341003418,0.7565217391304347,0.7565217391304349,0.7565217391304347
