,n_trees,n_interval,min_length,time,accuracy,f1,recall
0,100,3,5,0.7481486797332764,0.7130434782608696,0.7130434782608696,0.7130434782608696
1,100,3,10,1.1965341567993164,0.8434782608695652,0.8434782608695653,0.8434782608695652
2,100,3,20,0.9552419185638428,0.7130434782608696,0.7130434782608696,0.7130434782608696
3,100,3,50,1.1226201057434082,0.782608695652174,0.782608695652174,0.782608695652174
4,100,3,100,1.2176339626312256,0.8173913043478261,0.817391304347826,0.8173913043478261
5,100,3,200,0.8821163177490234,0.7391304347826086,0.7391304347826085,0.7391304347826086
6,100,3,500,1.1146197319030762,0.808695652173913,0.808695652173913,0.808695652173913
7,100,3,1000,0.8857786655426025,0.7130434782608696,0.7130434782608696,0.7130434782608696
8,100,5,5,1.6656739711761475,0.7739130434782608,0.7739130434782608,0.7739130434782608
9,100,5,10,1.669778823852539,0.8,0.8000000000000002,0.8
10,100,5,20,2.2676706314086914,0.8521739130434782,0.8521739130434782,0.8521739130434782
11,100,5,50,1.9042913913726807,0.8521739130434782,0.8521739130434782,0.8521739130434782
12,100,5,100,2.0525200366973877,0.8173913043478261,0.817391304347826,0.8173913043478261
13,100,5,200,1.32883882522583,0.7130434782608696,0.7130434782608696,0.7130434782608696
14,100,5,500,1.1765546798706055,0.7913043478260869,0.791304347826087,0.7913043478260869
15,100,5,1000,1.05625581741333,0.7130434782608696,0.7130434782608696,0.7130434782608696
16,100,10,5,3.823096752166748,0.8521739130434782,0.8521739130434782,0.8521739130434782
17,100,10,10,2.81750750541687,0.7913043478260869,0.791304347826087,0.7913043478260869
18,100,10,20,3.6849708557128906,0.8608695652173913,0.8608695652173913,0.8608695652173913
19,100,10,50,3.596153497695923,0.8608695652173913,0.8608695652173913,0.8608695652173913
20,100,10,100,4.528887748718262,0.8608695652173913,0.8608695652173913,0.8608695652173913
21,100,10,200,2.973909854888916,0.8,0.8000000000000002,0.8
22,100,10,500,3.4875216484069824,0.8173913043478261,0.817391304347826,0.8173913043478261
23,100,10,1000,3.5490634441375732,0.8,0.8000000000000002,0.8
24,100,20,5,7.6883544921875,0.8695652173913043,0.8695652173913043,0.8695652173913043
25,100,20,10,7.648404359817505,0.8695652173913043,0.8695652173913043,0.8695652173913043
26,100,20,20,6.913910150527954,0.8521739130434782,0.8521739130434782,0.8521739130434782
27,100,20,50,7.1968913078308105,0.8260869565217391,0.8260869565217391,0.8260869565217391
28,100,20,100,7.220995187759399,0.8434782608695652,0.8434782608695653,0.8434782608695652
29,100,20,200,7.182310581207275,0.8521739130434782,0.8521739130434782,0.8521739130434782
30,100,20,500,8.507895231246948,0.8434782608695652,0.8434782608695653,0.8434782608695652
31,100,20,1000,7.088322162628174,0.8347826086956521,0.8347826086956521,0.8347826086956521
32,100,50,5,19.22262716293335,0.8608695652173913,0.8608695652173913,0.8608695652173913
33,100,50,10,16.293943405151367,0.8521739130434782,0.8521739130434782,0.8521739130434782
34,100,50,20,16.77713942527771,0.8260869565217391,0.8260869565217391,0.8260869565217391
35,100,50,50,16.821491479873657,0.8260869565217391,0.8260869565217391,0.8260869565217391
36,100,50,100,18.26192855834961,0.8434782608695652,0.8434782608695653,0.8434782608695652
37,100,50,200,17.657559633255005,0.8521739130434782,0.8521739130434782,0.8521739130434782
38,100,50,500,18.96205973625183,0.8521739130434782,0.8521739130434782,0.8521739130434782
39,100,50,1000,19.82229709625244,0.8608695652173913,0.8608695652173913,0.8608695652173913
40,100,100,5,30.432106971740723,0.8608695652173913,0.8608695652173913,0.8608695652173913
41,100,100,10,35.19688391685486,0.8695652173913043,0.8695652173913043,0.8695652173913043
42,100,100,20,33.70573544502258,0.8695652173913043,0.8695652173913043,0.8695652173913043
43,100,100,50,35.88829040527344,0.8869565217391304,0.8869565217391304,0.8869565217391304
