,n_trees,n_interval,min_length,interval_type,time,accuracy,f1,recall
106,500,20,100.0,rp,12.833471775054932,0.8347826086956521,0.8347826086956521,0.8347826086956521
107,500,20,200.0,rp,13.566858053207397,0.8173913043478261,0.817391304347826,0.8173913043478261
108,500,50,5.0,rp,30.001596212387085,0.808695652173913,0.808695652173913,0.808695652173913
109,500,50,10.0,rp,29.832364320755005,0.808695652173913,0.808695652173913,0.808695652173913
110,500,50,20.0,rp,30.09183621406555,0.7913043478260869,0.791304347826087,0.7913043478260869
111,500,50,50.0,rp,30.3997004032135,0.782608695652174,0.782608695652174,0.782608695652174
112,500,50,100.0,rp,30.6805682182312,0.8173913043478261,0.817391304347826,0.8173913043478261
113,500,50,200.0,rp,30.931822061538696,0.808695652173913,0.808695652173913,0.808695652173913
114,500,100,5.0,rp,58.40165638923645,0.8173913043478261,0.817391304347826,0.8173913043478261
115,500,100,10.0,rp,59.43230175971985,0.808695652173913,0.808695652173913,0.808695652173913
116,500,100,20.0,rp,59.228227376937866,0.808695652173913,0.808695652173913,0.808695652173913
117,500,100,50.0,rp,58.009854793548584,0.808695652173913,0.808695652173913,0.808695652173913
118,500,100,100.0,rp,60.76235485076904,0.8173913043478261,0.817391304347826,0.8173913043478261
119,500,100,200.0,rp,61.34994864463806,0.8173913043478261,0.817391304347826,0.8173913043478261
120,500,200,5.0,rp,115.7144091129303,0.8173913043478261,0.817391304347826,0.8173913043478261
121,500,200,10.0,rp,116.29045963287354,0.8173913043478261,0.817391304347826,0.8173913043478261
122,500,200,20.0,rp,114.83327913284302,0.808695652173913,0.808695652173913,0.808695652173913
123,500,200,50.0,rp,116.92456769943237,0.8173913043478261,0.817391304347826,0.8173913043478261
124,500,200,100.0,rp,118.97495651245117,0.8173913043478261,0.817391304347826,0.8173913043478261
125,500,200,200.0,rp,120.15187048912048,0.8434782608695652,0.8434782608695653,0.8434782608695652
126,1000,3,5.0,rp,2.90263295173645,0.808695652173913,0.808695652173913,0.808695652173913
127,1000,3,10.0,rp,2.8303308486938477,0.8,0.8000000000000002,0.8
128,1000,3,20.0,rp,2.8439385890960693,0.808695652173913,0.808695652173913,0.808695652173913
129,1000,3,50.0,rp,2.739093065261841,0.8,0.8000000000000002,0.8
130,1000,3,100.0,rp,2.8725342750549316,0.8,0.8000000000000002,0.8
131,1000,3,200.0,rp,3.056244134902954,0.808695652173913,0.808695652173913,0.808695652173913
132,1000,5,5.0,rp,3.826641082763672,0.808695652173913,0.808695652173913,0.808695652173913
133,1000,5,10.0,rp,3.9130091667175293,0.808695652173913,0.808695652173913,0.808695652173913
134,1000,5,20.0,rp,3.854614496231079,0.808695652173913,0.808695652173913,0.808695652173913
135,1000,5,50.0,rp,4.110264301300049,0.8,0.8000000000000002,0.8
136,1000,5,100.0,rp,4.097898006439209,0.7913043478260869,0.791304347826087,0.7913043478260869
137,1000,5,200.0,rp,4.2469048500061035,0.782608695652174,0.782608695652174,0.782608695652174
138,1000,10,5.0,rp,7.022271156311035,0.7913043478260869,0.791304347826087,0.7913043478260869
139,1000,10,10.0,rp,7.16156268119812,0.782608695652174,0.782608695652174,0.782608695652174
140,1000,10,20.0,rp,7.072762966156006,0.7913043478260869,0.791304347826087,0.7913043478260869
141,1000,10,50.0,rp,7.19414210319519,0.808695652173913,0.808695652173913,0.808695652173913
142,1000,10,100.0,rp,6.969880104064941,0.8260869565217391,0.8260869565217391,0.8260869565217391
143,1000,10,200.0,rp,7.61414098739624,0.808695652173913,0.808695652173913,0.808695652173913
144,1000,20,5.0,rp,12.874290943145752,0.808695652173913,0.808695652173913,0.808695652173913
145,1000,20,10.0,rp,13.244658946990967,0.8,0.8000000000000002,0.8
146,1000,20,20.0,rp,13.037360429763794,0.808695652173913,0.808695652173913,0.808695652173913
147,1000,20,50.0,rp,12.967065572738647,0.8,0.8000000000000002,0.8
148,1000,20,100.0,rp,13.64072585105896,0.808695652173913,0.808695652173913,0.808695652173913
149,1000,20,200.0,rp,14.371154308319092,0.8347826086956521,0.8347826086956521,0.8347826086956521
150,1000,50,5.0,rp,31.050089836120605,0.808695652173913,0.808695652173913,0.808695652173913
151,1000,50,10.0,rp,31.010688543319702,0.808695652173913,0.808695652173913,0.808695652173913
152,1000,50,20.0,rp,30.867895364761353,0.808695652173913,0.808695652173913,0.808695652173913
153,1000,50,50.0,rp,31.193413496017456,0.8,0.8000000000000002,0.8
154,1000,50,100.0,rp,31.825082778930664,0.8173913043478261,0.817391304347826,0.8173913043478261
155,1000,50,200.0,rp,32.02690887451172,0.808695652173913,0.808695652173913,0.808695652173913
156,1000,100,5.0,rp,59.526556730270386,0.8173913043478261,0.817391304347826,0.8173913043478261
157,1000,100,10.0,rp,60.20658087730408,0.808695652173913,0.808695652173913,0.808695652173913
158,1000,100,20.0,rp,60.02242946624756,0.808695652173913,0.808695652173913,0.808695652173913
159,1000,100,50.0,rp,59.48267579078674,0.808695652173913,0.808695652173913,0.808695652173913
160,1000,100,100.0,rp,62.2883780002594,0.808695652173913,0.808695652173913,0.808695652173913
161,1000,100,200.0,rp,62.86865568161011,0.8173913043478261,0.817391304347826,0.8173913043478261
162,1000,200,5.0,rp,117.38093876838684,0.8173913043478261,0.817391304347826,0.8173913043478261
163,1000,200,10.0,rp,116.55245280265808,0.808695652173913,0.808695652173913,0.808695652173913
164,1000,200,20.0,rp,117.08674430847168,0.808695652173913,0.808695652173913,0.808695652173913
165,1000,200,50.0,rp,118.50363159179688,0.8173913043478261,0.817391304347826,0.8173913043478261
166,1000,200,100.0,rp,119.0807876586914,0.8173913043478261,0.817391304347826,0.8173913043478261
167,1000,200,200.0,rp,120.30897736549377,0.8347826086956521,0.8347826086956521,0.8347826086956521
168,5000,3,5.0,rp,7.391673564910889,0.8,0.8000000000000002,0.8
169,5000,3,10.0,rp,7.432602882385254,0.7913043478260869,0.791304347826087,0.7913043478260869
170,5000,3,20.0,rp,7.537979602813721,0.8,0.8000000000000002,0.8
171,5000,3,50.0,rp,7.334315299987793,0.8,0.8000000000000002,0.8
172,5000,3,100.0,rp,7.590428829193115,0.8,0.8000000000000002,0.8
173,5000,3,200.0,rp,7.51357102394104,0.8173913043478261,0.817391304347826,0.8173913043478261
174,5000,5,5.0,rp,8.794864654541016,0.808695652173913,0.808695652173913,0.808695652173913
